DATE,home,away,home_goals,away_goals,possession_%_home,possession_%_away,shots_on_target_home,shots_on_target_away,shots_home,shots_away,touches_home,touches_away,passes_home,passes_away,tackles_home,tackles_away,clearances_home,clearances_away,corners_home,corners_away,offsides_home,offsides_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,fouls_conceded_home,fouls_conceded_away,winner
Sun-28-May-2023,ARSENAL,WOLVES,5,0,51,49,8,0,14,6,599,590,456,432,17,9,14,22,8,4,1,0,0,0,0,0,8,11,1
Sun-28-May-2023,ASTON VILLA,BRIGHTON,2,1,40.3,59.7,5,4,12,8,459,586,283,427,14,13,7,14,3,3,0,6,4,4,0,0,15,16,1
Sun-28-May-2023,BRENTFORD,MAN CITY,1,0,34.4,65.6,4,3,11,17,482,791,323,635,17,14,17,15,3,4,3,0,4,0,0,0,12,8,1
Sun-28-May-2023,CHELSEA,NEWCASTLE,1,1,64.4,35.6,5,4,22,13,783,532,593,329,21,14,10,28,10,3,2,1,0,0,0,0,9,11,0
Sun-28-May-2023,CRYSTAL PALACE,NOTT'M FOREST,1,1,66,34,3,4,15,7,710,422,538,276,15,19,13,19,5,4,2,2,0,2,0,0,9,13,0
Sun-28-May-2023,EVERTON,BOURNEMOUTH,1,0,37.8,62.2,6,2,13,7,503,724,305,533,18,12,23,29,9,3,0,1,1,3,0,0,11,12,1
Sun-28-May-2023,LEEDS,SPURS,1,4,52.1,47.9,2,7,19,11,668,674,441,437,22,26,6,46,12,3,1,1,3,0,0,0,8,5,0
Sun-28-May-2023,LEICESTER,WEST HAM,2,1,48.2,51.8,4,3,13,16,705,724,541,565,11,17,17,17,3,5,2,3,1,1,0,0,8,10,1
Sun-28-May-2023,MAN UTD,FULHAM,2,1,53.2,46.8,8,3,21,10,649,609,493,426,19,15,10,17,5,4,1,1,1,2,0,0,14,10,1
Sun-28-May-2023,SOUTHAMPTON,LIVERPOOL,4,4,31,69,10,8,15,30,511,811,272,604,21,20,36,2,2,9,0,0,0,2,0,0,4,10,0
Thu-25-May-2023,MAN UTD,CHELSEA,4,1,41.1,58.9,9,5,18,14,610,818,438,617,19,21,11,8,3,4,0,0,1,1,0,0,12,6,1
Wed-24-May-2023,BRIGHTON,MAN CITY,1,1,39.6,60.4,7,4,20,13,539,745,386,607,12,12,6,12,5,1,2,0,2,1,0,0,16,11,0
Mon-22-May-2023,NEWCASTLE,LEICESTER,0,0,77.6,22.4,4,1,23,1,877,360,702,209,6,17,9,45,12,1,1,0,2,0,0,0,9,5,0
Sun-21-May-2023,WEST HAM,LEEDS,3,1,58.8,41.2,9,3,19,12,731,551,518,350,11,23,22,21,9,5,1,1,1,3,0,0,6,11,1
Sun-21-May-2023,BRIGHTON,SOUTHAMPTON,3,1,63,37,8,1,26,5,795,524,627,368,13,16,8,19,4,3,1,1,2,5,0,0,8,9,1
Sun-21-May-2023,MAN CITY,CHELSEA,1,0,64.6,35.4,2,6,15,13,838,522,692,380,8,17,11,13,5,2,2,2,0,2,0,0,12,9,1
Sat-20-May-2023,BOURNEMOUTH,MAN UTD,0,1,41.5,58.5,4,5,10,20,650,841,453,655,12,26,20,14,3,6,0,2,1,0,0,0,6,7,0
Sat-20-May-2023,FULHAM,CRYSTAL PALACE,2,2,49.5,50.5,4,5,11,11,548,561,352,371,16,12,21,17,7,4,2,2,3,0,0,0,13,12,0
